Size, Seq, Par, Libc
100, 0.000042, 0.048255, 0.000019
100, 0.000015, 0.047951, 0.000021
100, 0.000021, 0.045676, 0.000020
100, 0.000018, 0.048745, 0.000020
100, 0.000018, 0.045928, 0.000021
1000, 0.000207, 0.173171, 0.000232
1000, 0.000197, 0.156949, 0.000234
1000, 0.000195, 0.148580, 0.000235
1000, 0.000226, 0.126848, 0.000230
1000, 0.000226, 0.071731, 0.000229
10000, 0.002102, 0.348596, 0.002401
10000, 0.002116, 0.343284, 0.002448
10000, 0.002094, 0.304276, 0.002372
10000, 0.002028, 0.322051, 0.002507
10000, 0.001907, 0.325661, 0.002398
100000, 0.023039, 0.382234, 0.023761
100000, 0.024738, 0.300218, 0.023035
100000, 0.022684, 0.367794, 0.022915
100000, 0.022398, 0.402651, 0.022834
100000, 0.022543, 0.411670, 0.023231
1000000, 0.269056, 0.423330, 0.267971
1000000, 0.275310, 0.410528, 0.271790
1000000, 0.276095, 0.419627, 0.265046
1000000, 0.277097, 0.425498, 0.263226
1000000, 0.269894, 0.342121, 0.263383
