Size, Seq, Par, Libc
100, 0.000024, 0.034516, 0.000020
100, 0.000018, 0.022105, 0.000019
100, 0.000017, 0.035139, 0.000022
100, 0.000018, 0.031693, 0.000020
100, 0.000018, 0.030559, 0.000021
1000, 0.000222, 0.137192, 0.000232
1000, 0.000189, 0.143761, 0.000231
1000, 0.000222, 0.154175, 0.000228
1000, 0.000189, 0.123633, 0.000237
1000, 0.000223, 0.154128, 0.000227
10000, 0.002318, 0.222907, 0.002510
10000, 0.002029, 0.352447, 0.002397
10000, 0.002041, 0.369430, 0.002321
10000, 0.002072, 0.305160, 0.002257
10000, 0.002345, 0.256609, 0.002411
100000, 0.022822, 0.324439, 0.022629
100000, 0.022578, 0.318871, 0.023187
100000, 0.023501, 0.444937, 0.022715
100000, 0.023154, 0.452419, 0.023295
100000, 0.024204, 0.445161, 0.022779
1000000, 0.277379, 0.395515, 0.266150
1000000, 0.266382, 0.362536, 0.264144
1000000, 0.270308, 0.440913, 0.263627
1000000, 0.268901, 0.403148, 0.272817
1000000, 0.272947, 0.374527, 0.267410
